날짜,호선,역명,역명_정규화,요일,카테고리,승차,하차,승하차합계,평균_승차,평균_하차,평균_승하차합계,상승률_%,상승여부
2025-11-18,5호선,광화문,광화문,Tuesday,시위,39070,34639,73709,35598.62667,37392.11333,72990.74,0.98,증가
2025-11-21,5호선,올림픽공원,올림픽공원,Friday,행사,7710,6882,14592,5334.41791,4560.880597,9895.298507,47.46,증가
2025-11-21,2호선,종합운동장,종합운동장,Friday,행사,12756,14868,27624,12712.36134,13981.92437,26694.28571,3.48,증가
2025-11-22,2호선,종합운동장,종합운동장,Saturday,행사,19406,22235,41641,11157.85556,12532.94444,23690.8,75.77,증가
2025-11-22,5호선,올림픽공원,올림픽공원,Saturday,행사,6165,5752,11917,2739.166667,2440,5179.166667,130.09,증가
2025-11-23,2호선,종합운동장,종합운동장,Sunday,행사,10114,11987,22101,11497.52632,12325.68421,23823.21053,-7.23,감소
2025-11-23,5호선,올림픽공원,올림픽공원,Sunday,행사,4822,4679,9501,3374.333333,3357,6731.333333,41.15,증가
2025-11-25,4호선,혜화,혜화,Tuesday,시위,41774,39562,81336,36660.19444,36548.82639,73209.02083,11.1,증가
2025-11-26,5호선,여의나루,여의나루,Wednesday,시위,12516,13194,25710,13502.93377,15123.50331,28626.43709,-10.19,감소
2025-11-27,4호선,혜화,혜화,Thursday,시위,41474,39605,81079,38490.95139,38497.58333,76988.53472,5.31,증가
2025-11-28,5호선,올림픽공원,올림픽공원,Friday,행사,8473,7465,15938,5334.41791,4560.880597,9895.298507,61.07,증가
2025-11-29,2호선,종합운동장,종합운동장,Saturday,행사,13652,16051,29703,11157.85556,12532.94444,23690.8,25.38,증가
2025-11-29,5호선,올림픽공원,올림픽공원,Saturday,행사,5910,5267,11177,2739.166667,2440,5179.166667,115.81,증가
2025-11-30,2호선,종합운동장,종합운동장,Sunday,행사,10901,13165,24066,11497.52632,12325.68421,23823.21053,1.02,증가
2025-11-30,5호선,올림픽공원,올림픽공원,Sunday,행사,4791,4418,9209,3374.333333,3357,6731.333333,36.81,증가
